size,sizeNext,surv,days,id
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,4.976,1,3,temp
4.976,23.848,1,3,temp
23.848,2.656,1,3,temp
2.656,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,17.44,1,3,temp
17.44,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,1.672,1,3,temp
1.672,0.0,1,3,temp
0.0,25.144,1,3,temp
25.144,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,2.236,1,3,temp
2.236,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,2.416,1,3,temp
2.416,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,193.832,1,3,temp
193.832,61.656,1,3,temp
61.656,0.0,1,3,temp
0.0,0.392,1,3,temp
0.392,0.0,1,3,temp
0.0,5.264,1,3,temp
5.264,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,11.4,1,3,temp
11.4,0.488,1,3,temp
0.488,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,1.024,1,3,temp
1.024,0.0,1,3,temp
0.0,1.736,1,3,temp
1.736,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,1.648,1,3,temp
1.648,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,,0,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,125.976,1,3,temp
125.976,32.024,1,3,temp
32.024,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,3.776,1,3,temp
3.776,0.944,1,3,temp
0.944,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,3.912,1,3,temp
3.912,0.0,1,3,temp
0.0,2.752,1,3,temp
2.752,6.912,1,3,temp
6.912,0.792,1,3,temp
0.792,1.188,1,3,temp
1.188,1.696,1,3,temp
1.696,0.0,1,3,temp
0.0,9.688,1,3,temp
9.688,31.408,1,3,temp
31.408,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,1.776,1,3,temp
1.776,7.528,1,3,temp
7.528,0.0,1,3,temp
0.0,6.168,1,3,temp
6.168,2.816,1,3,temp
2.816,6.792,1,3,temp
6.792,2.048,1,3,temp
2.048,1.368,1,3,temp
1.368,0.32,1,3,temp
0.32,0.0,1,3,temp
0.0,8.704,1,3,temp
8.704,0.0,1,3,temp
0.0,15.64,1,3,temp
15.64,2.84,1,3,temp
2.84,81.52,1,3,temp
81.52,0.0,1,3,temp
0.0,15.664,1,3,temp
15.664,50.368,1,3,temp
50.368,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,4.048,1,3,temp
4.048,24.528,1,3,temp
24.528,2.888,1,3,temp
2.888,146.72,1,3,temp
146.72,76.336,1,3,temp
76.336,127.624,1,3,temp
127.624,56.56,1,3,temp
56.56,7.44,1,3,temp
7.44,15.536,1,3,temp
15.536,704.824,1,3,temp
704.824,158.904,1,3,temp
158.904,296.248,1,3,temp
296.248,7616.488,1,3,temp
7616.488,3306.224,1,3,temp
3306.224,538.776,1,3,temp
538.776,11004.568,1,3,temp
11004.568,6396.448,1,3,temp
6396.448,7927.088,1,3,temp
7927.088,4057.192,1,3,temp
4057.192,0.0,1,3,temp
0.0,1283.088,1,3,temp
1283.088,33116.504,1,3,temp
33116.504,91842.224,1,3,temp
91842.224,31783.976,1,3,temp
31783.976,0.0,1,3,temp
0.0,135593.288,1,3,temp
135593.288,35561.192,1,3,temp
35561.192,209348.832,1,3,temp
209348.832,82029.912,1,3,temp
82029.912,17774.392,1,3,temp
0.0,13.432,1,3,temp
13.432,0.0,1,3,temp
0.0,47.304,1,3,temp
47.304,7.368,1,3,temp
7.368,0.0,1,3,temp
0.0,142.712,1,3,temp
142.712,4.208,1,3,temp
4.208,0.0,1,3,temp
0.0,4.264,1,3,temp
4.264,4.608,1,3,temp
4.608,0.0,1,3,temp
0.0,138.808,1,3,temp
138.808,7.608,1,3,temp
7.608,11.696,1,3,temp
11.696,0.0,1,3,temp
0.0,8.192,1,3,temp
8.192,5.08,1,3,temp
5.08,32.592,1,3,temp
32.592,25.64,1,3,temp
25.64,56.248,1,3,temp
56.248,207.84,1,3,temp
207.84,400.488,1,3,temp
400.488,305.112,1,3,temp
305.112,466.464,1,3,temp
466.464,625.648,1,3,temp
625.648,1205.72,1,3,temp
1205.72,407.688,1,3,temp
407.688,3.408,1,3,temp
3.408,4510.448,1,3,temp
4510.448,11840.096,1,3,temp
11840.096,13430.76,1,3,temp
13430.76,12294.552,1,3,temp
12294.552,38842.808,1,3,temp
38842.808,84934.752,1,3,temp
84934.752,26454.376,1,3,temp
26454.376,47342.656,1,3,temp
47342.656,24076.488,1,3,temp
24076.488,71993.992,1,3,temp
71993.992,0.0,1,3,temp
0.0,2.384,1,3,temp
2.384,0.0,1,3,temp
0.0,31.624,1,3,temp
31.624,1.96,1,3,temp
1.96,0.56,1,3,temp
0.56,37.104,1,3,temp
37.104,0.64,1,3,temp
0.64,0.0,1,3,temp
0.0,4.144,1,3,temp
4.144,44.336,1,3,temp
44.336,1.944,1,3,temp
1.944,87.136,1,3,temp
87.136,3.824,1,3,temp
3.824,20.712,1,3,temp
20.712,0.0,1,3,temp
0.0,2.432,1,3,temp
